Air temperature,Process temperature,Rotational speed,Torque,Tool wear,class
298.4,,1569.0,34.4,,False
298.3,,,29.3,162.0,False
298.3,308.5,1362.0,53.8,164.0,False
,308.4,1329.0,,166.0,False
,308.5,,36.1,168.0,False
298.3,,1629.0,,170.0,False
298.3,308.5,1538.0,32.2,173.0,False
,,1570.0,34.8,175.0,False
,308.4,1408.0,43.1,177.0,False
298.2,308.4,1424.0,47.6,179.0,False
298.2,308.4,1512.0,34.9,181.0,False
298.2,308.4,1478.0,42.9,183.0,False
,308.3,,33.7,185.0,False
,308.3,1495.0,38.7,188.0,False
298.0,308.1,1552.0,36.6,190.0,False
,308.1,1393.0,50.3,193.0,False
298.0,308.2,,,195.0,False
,308.1,1339.0,,197.0,False
298.0,308.1,,24.3,200.0,False
,308.2,,58.8,,False
298.0,308.2,1442.0,44.1,204.0,False
298.0,308.2,1395.0,49.1,,False
297.9,,1627.0,31.4,209.0,False
297.9,308.1,,33.5,,False
,,1469.0,45.5,,False
298.0,308.3,,,216.0,False
,308.3,1405.0,56.2,218.0,False
298.0,308.3,1662.0,32.7,0.0,False
,308.2,,42.6,,False
298.0,308.2,1620.0,35.8,,False
298.0,,1357.0,48.2,7.0,False
298.0,308.2,1514.0,37.9,,False
,308.2,1489.0,40.4,11.0,False
298.1,308.3,1331.0,63.0,13.0,False
,308.0,1615.0,29.5,15.0,False
298.1,308.2,1482.0,37.9,17.0,False
,308.2,1420.0,63.9,19.0,False
298.2,308.3,1522.0,49.1,,False
298.1,308.2,1654.0,32.1,25.0,False
298.1,,1736.0,26.8,27.0,False
298.0,308.1,,32.3,30.0,False
298.1,,1390.0,47.5,33.0,False
298.0,308.1,1454.0,37.1,,False
298.0,308.1,1440.0,,37.0,True
297.9,308.0,1954.0,21.1,42.0,False
297.9,308.0,,24.8,44.0,True
298.0,,1524.0,37.0,,False
298.0,308.0,,,51.0,True
,,1452.0,40.8,56.0,False
,308.1,1484.0,40.4,59.0,False
,,1426.0,46.0,61.0,False
298.1,,1652.0,28.5,63.0,False
298.0,,,54.7,65.0,False
298.0,307.9,1750.0,26.6,67.0,False
298.0,308.0,1479.0,,70.0,True
,308.0,,29.4,75.0,False
298.0,308.1,1819.0,23.4,78.0,False
298.1,308.1,,,80.0,False
298.1,,1626.0,,83.0,False
298.1,308.1,,49.8,85.0,False
,308.2,1469.0,43.0,88.0,False
298.2,308.3,,19.2,90.0,False
298.2,,,36.0,92.0,False
298.2,308.3,1589.0,33.2,,False
,308.3,1805.0,31.6,96.0,False
,308.4,,42.2,98.0,True
298.1,308.4,,46.7,103.0,False
298.1,308.4,,,105.0,False
298.0,308.3,1473.0,42.6,107.0,False
298.1,308.4,,,109.0,False
,308.5,1392.0,44.8,111.0,True
298.1,,1372.0,51.1,116.0,False
298.1,,1716.0,30.7,119.0,False
298.0,308.5,1395.0,46.2,122.0,False
298.0,308.5,1713.0,25.3,124.0,False
297.9,308.5,2129.0,18.7,126.0,True
297.8,308.3,1567.0,35.6,,False
,,,38.3,134.0,False
297.7,308.4,1740.0,27.1,136.0,False
297.8,308.4,1512.0,35.1,,True
297.8,,1479.0,43.5,143.0,False
,,1737.0,,146.0,False
297.8,,2129.0,19.2,148.0,False
297.8,308.4,1374.0,47.1,150.0,False
,308.4,1579.0,36.6,152.0,False
,308.5,1305.0,47.2,155.0,False
297.9,,1449.0,40.8,157.0,False
298.0,308.6,,,160.0,True
298.0,308.6,1453.0,,165.0,False
,308.6,1468.0,,168.0,False
298.0,,1313.0,50.8,,False
297.9,308.5,,53.0,172.0,False
297.9,308.4,1646.0,40.6,175.0,False
,308.4,,33.2,177.0,False
297.8,308.4,1685.0,28.4,179.0,False
297.8,308.4,1512.0,39.9,181.0,False
297.8,308.4,1612.0,32.1,183.0,False
297.8,308.4,1550.0,38.2,185.0,True
297.8,308.4,,32.5,190.0,False
297.8,,1448.0,40.0,192.0,False
297.8,308.5,1561.0,46.3,194.0,False
297.8,308.5,,41.9,,False
297.8,308.5,,27.8,199.0,False
297.7,,1501.0,41.4,,False
,308.5,1373.0,56.7,203.0,False
297.6,308.4,1703.0,31.4,205.0,True
297.7,,1720.0,29.9,210.0,True
,308.4,1398.0,41.9,215.0,False
297.6,308.4,1391.0,51.9,218.0,False
297.6,308.3,1538.0,40.2,0.0,False
297.5,308.2,1647.0,,,False
297.5,308.1,,44.8,5.0,False
297.4,308.1,1749.0,25.9,8.0,False
297.6,308.2,,20.5,10.0,False
297.6,308.3,1742.0,27.7,13.0,False
297.5,,,38.2,15.0,False
297.5,308.2,1713.0,32.2,17.0,False
,308.1,1474.0,39.4,20.0,False
297.4,308.2,1530.0,32.6,22.0,False
297.4,308.2,,46.5,25.0,False
297.5,308.3,1388.0,48.6,27.0,False
,308.2,2448.0,13.8,29.0,False
297.5,308.3,1585.0,32.9,32.0,False
297.5,308.3,1459.0,45.2,34.0,False
297.5,308.3,1544.0,40.8,,False
297.6,308.3,1617.0,31.7,39.0,False
297.6,308.3,1595.0,34.3,41.0,False
,308.3,1400.0,,,True
297.6,308.4,1611.0,31.0,48.0,False
,308.4,1507.0,46.0,51.0,False
297.5,308.3,1674.0,,54.0,True
297.6,308.3,1658.0,34.3,59.0,False
297.6,,1623.0,36.9,61.0,False
297.6,,1398.0,48.9,,False
297.6,308.4,1517.0,34.2,,False
297.6,308.3,1467.0,,68.0,False
297.6,308.3,1567.0,34.6,,False
297.5,308.3,1521.0,,74.0,False
297.5,308.3,1596.0,36.8,77.0,False
297.6,308.3,1640.0,30.9,79.0,True
297.6,308.3,1438.0,,84.0,False
297.6,308.4,1407.0,55.2,86.0,False
,308.4,1353.0,57.5,88.0,False
297.6,308.5,,40.9,,False
297.6,308.4,1569.0,38.3,93.0,False
297.5,308.4,1489.0,39.5,96.0,False
297.5,,,,98.0,True
297.5,308.3,1622.0,,103.0,False
297.5,308.4,1604.0,38.1,106.0,False
297.4,308.3,1405.0,51.7,108.0,False
297.4,308.3,,42.0,111.0,False
297.4,308.3,1431.0,43.0,113.0,False
297.4,308.2,1533.0,37.4,115.0,False
297.4,,1401.0,,117.0,False
297.4,308.2,1424.0,,120.0,False
297.3,,1754.0,29.4,123.0,False
297.3,,1754.0,26.8,125.0,False
297.5,308.3,2564.0,12.8,127.0,False
297.5,308.5,1546.0,40.4,129.0,False
297.5,308.5,1335.0,48.0,131.0,False
297.5,308.6,,27.0,133.0,False
297.5,308.5,1712.0,26.8,136.0,False
297.6,308.6,1414.0,45.4,138.0,False
,308.7,1319.0,,141.0,False
297.7,308.7,1249.0,60.4,143.0,False
297.6,,1455.0,48.2,145.0,False
297.6,308.7,1408.0,54.8,147.0,False
297.6,308.7,1460.0,46.7,150.0,False
297.6,308.6,1491.0,,152.0,False
297.6,308.5,,,154.0,False
297.5,308.4,1350.0,52.2,157.0,False
297.5,308.4,1528.0,39.9,160.0,False
297.4,,1571.0,37.7,162.0,False
297.4,308.3,1490.0,42.6,164.0,False
297.4,308.3,,,166.0,False
297.4,308.3,1502.0,,,True
297.4,308.4,1392.0,49.7,174.0,False
,,2100.0,,176.0,False
,308.5,1722.0,30.4,178.0,False
297.4,308.6,1678.0,32.3,180.0,False
297.3,308.6,1273.0,59.8,182.0,False
297.3,308.6,,45.9,,False
297.3,308.5,,,186.0,False
297.4,308.6,1439.0,,,False
297.4,,,42.1,190.0,False
,308.6,1434.0,44.4,193.0,False
297.4,308.6,1459.0,41.3,196.0,False
297.5,,1472.0,,198.0,False
297.5,308.7,1429.0,44.3,,False
297.5,308.6,1388.0,48.2,203.0,False
297.4,308.4,1573.0,,205.0,False
297.4,308.4,1588.0,32.5,207.0,False
297.5,308.4,1511.0,42.8,,False
297.4,308.5,1495.0,37.8,211.0,False
297.4,,1394.0,,213.0,False
,308.4,2151.0,17.7,0.0,False
297.3,308.3,1501.0,38.2,2.0,False
297.3,,,39.6,5.0,False
297.3,308.3,1657.0,31.1,8.0,False
297.3,308.3,1333.0,,,False
297.3,,1484.0,43.9,13.0,False
297.3,,1430.0,,,False
297.3,308.4,,28.9,17.0,False
297.4,,1501.0,44.9,20.0,False
297.5,308.5,1496.0,,22.0,False
297.6,308.6,1595.0,,25.0,False
297.5,,1208.0,62.3,28.0,False
297.5,308.6,1596.0,,,False
297.5,308.5,1446.0,,,False
,308.5,1466.0,,34.0,False
297.6,308.5,1848.0,23.7,37.0,False
,308.5,1484.0,44.7,40.0,False
297.4,,1493.0,41.2,43.0,False
297.3,308.3,1504.0,36.3,45.0,False
297.3,308.3,1538.0,38.5,47.0,False
297.4,308.4,1341.0,,49.0,False
297.4,308.3,1535.0,34.6,51.0,False
297.4,308.5,,39.2,54.0,False
297.5,,1393.0,46.6,56.0,True
297.4,308.5,1399.0,61.5,61.0,False
297.4,308.5,,45.1,,True
297.4,308.4,,37.2,68.0,False
297.5,308.6,1793.0,26.7,70.0,False
,308.6,1452.0,39.0,72.0,False
297.6,,,59.9,74.0,False
297.5,308.6,1552.0,44.9,77.0,False
297.6,,1622.0,37.9,79.0,False
297.6,308.7,,,81.0,False
297.5,308.6,1440.0,,,True
297.4,,1643.0,,89.0,False
297.4,,1510.0,36.2,92.0,False
,308.7,1468.0,46.6,94.0,False
297.4,308.7,1429.0,57.4,96.0,False
,,1478.0,,98.0,True
297.4,308.6,,,103.0,False
,,,42.6,105.0,False
297.4,308.6,1476.0,42.3,107.0,False
297.3,308.6,1431.0,42.0,109.0,True
297.4,308.7,1402.0,40.2,,False
297.4,308.7,,43.4,116.0,False
297.4,308.7,2874.0,4.2,,False
297.3,308.6,,35.7,120.0,False
297.3,,,,,False
297.2,308.5,,41.5,125.0,False
297.2,,,16.5,127.0,False
297.3,308.7,1619.0,31.6,129.0,False
297.3,308.8,1586.0,32.7,131.0,False
297.3,308.8,1499.0,,,True
297.3,308.8,,,139.0,True
297.4,,1497.0,41.8,144.0,False
297.4,309.0,1520.0,37.0,147.0,False
297.4,309.1,,,150.0,False
297.4,309.1,1380.0,41.1,152.0,False
297.4,,1570.0,37.9,154.0,False
297.4,309.0,1468.0,,156.0,True
297.4,309.0,1833.0,,161.0,False
297.4,,1323.0,57.3,,False
297.4,309.0,1583.0,32.0,166.0,False
297.3,309.0,1556.0,39.5,168.0,False
,309.0,1548.0,37.4,,False
297.4,309.0,1324.0,56.9,,False
297.4,309.0,,33.7,175.0,False
297.4,309.0,,30.7,177.0,False
297.4,,,,180.0,False
297.4,,1463.0,35.0,183.0,False
297.4,309.2,1584.0,,186.0,False
297.5,309.2,,55.8,188.0,False
297.4,309.2,1459.0,,191.0,False
297.4,,,,193.0,False
297.5,309.3,1404.0,43.5,195.0,False
297.5,309.3,1470.0,38.8,197.0,False
297.6,309.4,1326.0,49.8,199.0,False
297.5,309.3,1459.0,49.7,201.0,True
297.5,309.2,1530.0,,206.0,False
,309.0,1505.0,39.2,209.0,False
297.5,309.1,1611.0,30.2,211.0,False
297.5,309.1,1515.0,35.1,213.0,False
297.5,309.2,1804.0,27.4,215.0,False
297.6,309.3,1464.0,46.2,218.0,False
297.6,,1390.0,43.3,221.0,False
297.6,,1442.0,48.1,0.0,False
297.6,309.3,1529.0,41.9,3.0,False
297.6,309.3,,35.0,6.0,False
297.6,309.3,1543.0,34.3,8.0,False
297.8,309.4,1445.0,48.2,10.0,True
297.7,309.3,1893.0,24.6,,False
297.6,,1415.0,41.3,17.0,False
297.5,309.3,1564.0,37.5,20.0,False
297.5,309.3,1479.0,39.4,22.0,False
297.5,309.2,1426.0,44.8,24.0,False
297.4,309.2,1428.0,38.8,,False
297.4,309.2,,33.2,28.0,False
297.5,,1715.0,28.0,30.0,False
,309.3,1732.0,,32.0,False
297.5,,1391.0,58.2,34.0,False
297.6,309.5,1924.0,20.6,37.0,False
297.7,,2027.0,19.8,39.0,False
297.6,309.5,1617.0,36.2,42.0,False
297.5,309.4,1497.0,35.8,44.0,False
297.5,309.5,,43.7,46.0,False
297.4,309.4,1401.0,45.9,49.0,False
297.4,309.4,,35.4,51.0,False
297.4,309.4,,45.5,53.0,False
297.6,309.5,1373.0,50.6,55.0,False
297.6,309.6,1592.0,35.8,,False
297.5,309.5,1553.0,42.4,60.0,False
297.6,309.5,1569.0,36.2,63.0,False
,309.5,,32.2,65.0,False
297.6,309.5,1549.0,,68.0,False
297.5,309.4,1443.0,45.4,70.0,False
297.5,309.3,,29.8,72.0,False
297.5,309.3,1623.0,,74.0,False
,309.3,1365.0,,76.0,True
297.4,309.3,,24.8,81.0,False
297.4,309.3,1516.0,,,True
297.4,309.3,,,88.0,False
297.4,,1775.0,25.8,91.0,False
297.4,,1473.0,45.5,94.0,False
297.4,309.4,1296.0,52.3,96.0,False
,309.4,1803.0,24.7,,False
297.5,309.3,1563.0,36.1,,True
297.5,309.4,,26.6,105.0,False
297.6,309.4,1958.0,22.1,108.0,False
,309.4,1809.0,,110.0,False
,309.4,1482.0,,112.0,False
297.4,,1332.0,53.2,115.0,False
297.4,309.2,1437.0,40.4,117.0,False
,309.2,1698.0,,119.0,False
297.4,309.2,1274.0,,121.0,False
297.4,309.3,1622.0,,123.0,False
297.4,309.3,1564.0,,,False
,309.4,1368.0,45.3,129.0,True
297.4,309.4,1539.0,,134.0,False
297.5,,1357.0,50.1,137.0,False
,309.4,,48.3,139.0,False
297.5,309.4,1650.0,34.6,142.0,False
297.5,309.4,1503.0,40.6,144.0,False
297.5,309.4,1318.0,58.2,146.0,False
,309.4,1678.0,34.4,,False
297.6,309.5,,30.9,151.0,False
,,,35.2,153.0,False
297.6,309.6,,32.1,155.0,True
297.7,309.7,1570.0,,160.0,True
297.6,309.7,,33.7,165.0,False
,309.7,1680.0,30.2,168.0,False
,309.7,1935.0,22.1,,False
,309.6,1596.0,35.2,173.0,False
,309.7,1498.0,41.0,176.0,False
297.8,309.8,1676.0,,178.0,False
297.8,,1351.0,49.0,181.0,False
297.9,309.9,1472.0,45.0,183.0,False
297.9,,1439.0,41.7,185.0,False
,,,55.4,188.0,False
,309.7,,51.1,191.0,True
297.7,309.7,1591.0,37.7,196.0,False
,309.8,1533.0,36.8,198.0,False
297.8,309.7,1700.0,31.3,200.0,False
297.8,,1798.0,25.5,203.0,False
297.8,309.7,,42.9,206.0,False
297.8,,1341.0,49.2,208.0,False
297.7,309.6,,32.2,210.0,True
297.6,309.6,1419.0,48.2,215.0,True
,309.5,2001.0,20.5,220.0,False
,309.6,1501.0,49.8,222.0,False
297.6,,1623.0,33.1,224.0,True
297.6,309.4,1628.0,33.4,229.0,False
297.6,309.4,1491.0,40.2,231.0,False
297.5,309.4,,,,False
297.5,309.3,1525.0,41.7,,True
297.5,309.5,,,,True
,309.6,1312.0,50.7,0.0,False
,309.6,1278.0,50.4,2.0,True
297.6,309.6,1330.0,53.1,7.0,False
297.6,,1530.0,37.3,,False
297.6,309.6,,46.6,13.0,True
,309.6,1480.0,47.9,18.0,False
,309.7,,31.1,20.0,True
297.8,309.7,,37.3,25.0,False
,309.7,2194.0,16.8,27.0,False
297.9,309.8,2000.0,21.3,29.0,False
297.9,309.8,1336.0,71.6,31.0,False
297.9,309.9,1542.0,33.8,33.0,False
297.9,,1693.0,29.9,,False
,309.8,1461.0,50.5,38.0,False
298.0,309.9,1565.0,,40.0,False
298.0,309.9,1403.0,,43.0,False
,309.9,1629.0,,45.0,False
298.1,310.0,1534.0,,47.0,False
298.1,310.0,,,,False
298.1,309.9,,,51.0,False
298.1,309.9,1634.0,,,False
298.0,,,,,False
298.1,309.9,1642.0,30.4,58.0,False
298.1,309.9,1686.0,29.1,60.0,True
298.1,310.0,1393.0,43.1,65.0,False
,310.0,1433.0,44.2,68.0,True
298.3,310.0,1507.0,44.7,73.0,False
298.3,310.1,1389.0,49.6,75.0,False
298.3,310.1,,45.3,,False
298.4,,1725.0,32.0,,False
,310.1,1926.0,23.7,83.0,False
298.3,310.1,,37.6,85.0,True
298.3,310.1,1545.0,,90.0,False
,310.1,1533.0,35.2,,False
298.4,,1455.0,,94.0,False
298.4,,,57.8,96.0,False
298.3,310.1,1523.0,,99.0,False
298.3,310.0,1460.0,47.6,101.0,False
298.4,310.0,1554.0,37.3,103.0,False
298.3,310.0,1419.0,,105.0,True
298.3,310.0,1442.0,43.9,110.0,False
298.3,309.9,1507.0,41.6,112.0,False
298.3,310.0,1858.0,23.9,,False
,309.9,1463.0,43.9,116.0,False
298.2,309.7,,,,False
298.0,309.6,1536.0,37.3,120.0,False
298.0,309.6,1403.0,,122.0,False
297.9,309.6,1515.0,38.8,124.0,False
297.9,,1390.0,,,False
297.8,309.4,1226.0,58.7,129.0,False
297.8,309.4,1495.0,36.5,132.0,False
297.7,309.4,1608.0,30.2,135.0,True
297.7,309.4,1392.0,,,False
,309.4,1461.0,43.7,,False
297.7,309.3,,36.9,145.0,False
,,1400.0,48.9,,True
297.7,,1732.0,28.8,152.0,False
,309.2,1611.0,33.1,,False
297.6,309.1,1503.0,,157.0,False
297.7,309.2,1391.0,44.5,159.0,False
297.8,309.3,,20.1,161.0,False
297.8,309.2,1683.0,,163.0,False
297.7,,1435.0,38.8,165.0,False
297.7,,,28.1,167.0,False
297.7,309.2,,58.6,170.0,False
,309.1,1562.0,36.8,172.0,False
297.6,309.1,1449.0,49.1,174.0,False
297.7,309.2,1700.0,,,False
297.6,309.0,1427.0,45.6,179.0,False
297.6,308.9,1479.0,38.1,182.0,False
297.5,308.9,1469.0,44.0,185.0,False
,308.9,1390.0,47.4,187.0,False
,308.9,,28.1,189.0,False
297.5,309.0,1470.0,43.5,,False
297.5,308.9,1459.0,,193.0,False
297.5,308.9,1738.0,,195.0,False
297.5,308.9,1471.0,37.7,197.0,True
297.6,309.0,1822.0,25.4,202.0,False
297.5,308.9,1554.0,34.8,204.0,False
297.6,308.9,1433.0,43.2,,False
297.6,308.9,,47.7,209.0,False
297.8,309.0,1456.0,41.2,,False
297.8,309.1,1424.0,45.5,2.0,False
297.9,,1577.0,34.7,5.0,True
297.9,309.2,1478.0,39.7,,False
297.8,309.2,1295.0,61.2,12.0,False
,309.2,1372.0,,15.0,False
297.8,309.1,1432.0,42.6,17.0,False
,309.0,1656.0,33.2,20.0,False
297.8,309.0,1410.0,48.8,23.0,True
297.7,,1874.0,24.4,28.0,False
297.7,309.0,1538.0,43.2,,False
,309.0,1636.0,29.7,32.0,False
297.7,309.0,1504.0,40.4,35.0,False
,309.0,,42.4,,False
,309.0,,26.4,41.0,True
297.6,309.0,1354.0,55.6,46.0,True
297.6,309.0,1413.0,40.2,,True
297.7,309.1,1563.0,,56.0,False
,309.1,1479.0,42.1,58.0,False
297.7,309.1,,38.3,60.0,False
297.6,309.1,1394.0,,62.0,False
,309.0,1487.0,45.4,64.0,False
297.6,309.0,1815.0,25.3,66.0,False
297.6,308.8,1453.0,39.7,69.0,False
,308.8,1539.0,40.2,72.0,False
297.5,308.7,1416.0,,74.0,True
297.6,308.8,1683.0,31.6,79.0,False
297.7,,1515.0,40.1,82.0,False
297.7,308.9,1531.0,48.3,84.0,False
