Dataset,method,Experiment,Accuracy
10_lymphography,2_zero + dynamic,26,0.9840 ± 0.0000
10_lymphography,2_zero + dynamic,27,0.9846 ± 0.0000
10_lymphography,2_zero + dynamic,28,0.9839 ± 0.0000
10_lymphography,2_zero + dynamic,29,0.9845 ± 0.0000
10_lymphography,2_zero + dynamic,30,0.9839 ± 0.0000
10_lymphography,3_zero+datawig,1,0.0000 ± 0.0000
10_lymphography,3_zero+datawig,2,0.0000 ± 0.0000
10_lymphography,3_zero+datawig,3,0.0111 ± 0.0157
10_lymphography,3_zero+datawig,4,0.0083 ± 0.0144
10_lymphography,3_zero+datawig,5,0.0067 ± 0.0133
10_lymphography,3_zero+datawig,6,0.0056 ± 0.0124
10_lymphography,3_zero+datawig,7,0.0048 ± 0.0117
10_lymphography,3_zero+datawig,8,0.0125 ± 0.0232
10_lymphography,3_zero+datawig,9,0.0111 ± 0.0222
10_lymphography,3_zero+datawig,10,0.0100 ± 0.0213
10_lymphography,3_zero+datawig,11,0.0091 ± 0.0206
10_lymphography,3_zero+datawig,12,0.0083 ± 0.0198
10_lymphography,3_zero+datawig,13,0.0128 ± 0.0246
10_lymphography,3_zero+datawig,14,0.0119 ± 0.0239
10_lymphography,3_zero+datawig,15,0.0111 ± 0.0233
10_lymphography,3_zero+datawig,16,0.0104 ± 0.0227
10_lymphography,3_zero+datawig,17,0.0098 ± 0.0222
10_lymphography,3_zero+datawig,18,0.0093 ± 0.0217
10_lymphography,3_zero+datawig,19,0.0088 ± 0.0212
10_lymphography,3_zero+datawig,20,0.0117 ± 0.0242
10_lymphography,3_zero+datawig,21,0.0111 ± 0.0238
10_lymphography,3_zero+datawig,22,0.0121 ± 0.0237
10_lymphography,3_zero+datawig,23,0.0116 ± 0.0233
10_lymphography,3_zero+datawig,24,0.0125 ± 0.0232
10_lymphography,3_zero+datawig,25,0.0147 ± 0.0251
10_lymphography,3_zero+datawig,26,0.0141 ± 0.0248
10_lymphography,3_zero+datawig,27,0.0136 ± 0.0244
10_lymphography,3_zero+datawig,28,0.0131 ± 0.0241
10_lymphography,3_zero+datawig,29,0.0126 ± 0.0238
10_lymphography,3_zero+datawig,30,0.0133 ± 0.0237
10_lymphography,4_knn + dynamic,1,1.0000 ± 0.0000
10_lymphography,4_knn + dynamic,2,1.0000 ± 0.0000
10_lymphography,4_knn + dynamic,3,0.9889 ± 0.0157
10_lymphography,4_knn + dynamic,4,0.9917 ± 0.0144
10_lymphography,4_knn + dynamic,5,0.9900 ± 0.0153
10_lymphography,4_knn + dynamic,6,0.9917 ± 0.0144
10_lymphography,4_knn + dynamic,7,0.9905 ± 0.0151
10_lymphography,4_knn + dynamic,8,0.9833 ± 0.0236
10_lymphography,4_knn + dynamic,9,0.9852 ± 0.0228
10_lymphography,4_knn + dynamic,10,0.9867 ± 0.0221
10_lymphography,4_knn + dynamic,11,0.9879 ± 0.0214
10_lymphography,4_knn + dynamic,12,0.9889 ± 0.0208
10_lymphography,4_knn + dynamic,13,0.9846 ± 0.0249
10_lymphography,4_knn + dynamic,14,0.9857 ± 0.0243
10_lymphography,4_knn + dynamic,15,0.9833 ± 0.0282
10_lymphography,4_knn + dynamic,16,0.9844 ± 0.0276
10_lymphography,4_knn + dynamic,17,0.9843 ± 0.0271
10_lymphography,4_knn + dynamic,18,0.9852 ± 0.0266
10_lymphography,4_knn + dynamic,19,0.9860 ± 0.0261
10_lymphography,4_knn + dynamic,20,0.9833 ± 0.0279
10_lymphography,4_knn + dynamic,21,0.9817 ± 0.0302
10_lymphography,4_knn + dynamic,22,0.9811 ± 0.0296
10_lymphography,4_knn + dynamic,23,0.9812 ± 0.0292
10_lymphography,4_knn + dynamic,24,0.9799 ± 0.0295
10_lymphography,4_knn + dynamic,25,0.9780 ± 0.0303
10_lymphography,4_knn + dynamic,26,0.9782 ± 0.0299
10_lymphography,4_knn + dynamic,27,0.9790 ± 0.0296
10_lymphography,4_knn + dynamic,28,0.9792 ± 0.0293
10_lymphography,4_knn + dynamic,29,0.9799 ± 0.0290
10_lymphography,4_knn + dynamic,30,0.9794 ± 0.0286
10_lymphography,5_knn+datawig,1,0.0000 ± 0.0000
10_lymphography,5_knn+datawig,2,0.0000 ± 0.0000
10_lymphography,5_knn+datawig,3,0.0111 ± 0.0157
10_lymphography,5_knn+datawig,4,0.0083 ± 0.0144
10_lymphography,5_knn+datawig,5,0.0067 ± 0.0133
10_lymphography,5_knn+datawig,6,0.0056 ± 0.0124
10_lymphography,5_knn+datawig,7,0.0048 ± 0.0117
10_lymphography,5_knn+datawig,8,0.0125 ± 0.0232
10_lymphography,5_knn+datawig,9,0.0111 ± 0.0222
10_lymphography,5_knn+datawig,10,0.0100 ± 0.0213
10_lymphography,5_knn+datawig,11,0.0091 ± 0.0206
10_lymphography,5_knn+datawig,12,0.0083 ± 0.0198
10_lymphography,5_knn+datawig,13,0.0128 ± 0.0246
10_lymphography,5_knn+datawig,14,0.0119 ± 0.0239
10_lymphography,5_knn+datawig,15,0.0111 ± 0.0233
10_lymphography,5_knn+datawig,16,0.0104 ± 0.0227
10_lymphography,5_knn+datawig,17,0.0098 ± 0.0222
10_lymphography,5_knn+datawig,18,0.0093 ± 0.0217
10_lymphography,5_knn+datawig,19,0.0088 ± 0.0212
10_lymphography,5_knn+datawig,20,0.0117 ± 0.0242
10_lymphography,5_knn+datawig,21,0.0111 ± 0.0238
10_lymphography,5_knn+datawig,22,0.0121 ± 0.0237
10_lymphography,5_knn+datawig,23,0.0116 ± 0.0233
10_lymphography,5_knn+datawig,24,0.0125 ± 0.0232
10_lymphography,5_knn+datawig,25,0.0147 ± 0.0251
10_lymphography,5_knn+datawig,26,0.0141 ± 0.0248
10_lymphography,5_knn+datawig,27,0.0136 ± 0.0244
10_lymphography,5_knn+datawig,28,0.0131 ± 0.0241
10_lymphography,5_knn+datawig,29,0.0126 ± 0.0238
10_lymphography,5_knn+datawig,30,0.0133 ± 0.0237
10_lymphography,6_dynamic + datawig,1,1.0000 ± 0.0000
10_lymphography,6_dynamic + datawig,2,1.0000 ± 0.0000
10_lymphography,6_dynamic + datawig,3,0.9889 ± 0.0157
10_lymphography,6_dynamic + datawig,4,0.9917 ± 0.0144
10_lymphography,6_dynamic + datawig,5,0.9933 ± 0.0133
10_lymphography,6_dynamic + datawig,6,0.9917 ± 0.0144
10_lymphography,6_dynamic + datawig,7,0.9929 ± 0.0137
10_lymphography,6_dynamic + datawig,8,0.9854 ± 0.0235
10_lymphography,6_dynamic + datawig,9,0.9870 ± 0.0226
10_lymphography,6_dynamic + datawig,10,0.9883 ± 0.0218
10_lymphography,6_dynamic + datawig,11,0.9894 ± 0.0210
10_lymphography,6_dynamic + datawig,12,0.9903 ± 0.0204
10_lymphography,6_dynamic + datawig,13,0.9846 ± 0.0281
10_lymphography,6_dynamic + datawig,14,0.9857 ± 0.0274
10_lymphography,6_dynamic + datawig,15,0.9867 ± 0.0267
10_lymphography,6_dynamic + datawig,16,0.9875 ± 0.0260
10_lymphography,6_dynamic + datawig,17,0.9882 ± 0.0254
10_lymphography,6_dynamic + datawig,18,0.9889 ± 0.0248
10_lymphography,6_dynamic + datawig,19,0.9895 ± 0.0243
10_lymphography,6_dynamic + datawig,20,0.9867 ± 0.0267
10_lymphography,6_dynamic + datawig,21,0.9873 ± 0.0262
10_lymphography,6_dynamic + datawig,22,0.9864 ± 0.0259
10_lymphography,6_dynamic + datawig,23,0.9870 ± 0.0255
10_lymphography,6_dynamic + datawig,24,0.9861 ± 0.0253
10_lymphography,6_dynamic + datawig,25,0.9840 ± 0.0269
10_lymphography,6_dynamic + datawig,26,0.9840 ± 0.0265
10_lymphography,6_dynamic + datawig,27,0.9846 ± 0.0262
10_lymphography,6_dynamic + datawig,28,0.9851 ± 0.0259
10_lymphography,6_dynamic + datawig,29,0.9856 ± 0.0256
10_lymphography,6_dynamic + datawig,30,0.9850 ± 0.0254
10_lymphography,7_dynamic + datawig + zero,1,1.0000 ± 0.0000
10_lymphography,7_dynamic + datawig + zero,2,1.0000 ± 0.0000
10_lymphography,7_dynamic + datawig + zero,3,0.9889 ± 0.0157
10_lymphography,7_dynamic + datawig + zero,4,0.9917 ± 0.0144
10_lymphography,7_dynamic + datawig + zero,5,0.9933 ± 0.0133
10_lymphography,7_dynamic + datawig + zero,6,0.9926 ± 0.0139
10_lymphography,7_dynamic + datawig + zero,7,0.9921 ± 0.0142
10_lymphography,7_dynamic + datawig + zero,8,0.9847 ± 0.0235
10_lymphography,7_dynamic + datawig + zero,9,0.9864 ± 0.0227
10_lymphography,7_dynamic + datawig + zero,10,0.9878 ± 0.0219
10_lymphography,7_dynamic + datawig + zero,11,0.9889 ± 0.0212
10_lymphography,7_dynamic + datawig + zero,12,0.9898 ± 0.0205
10_lymphography,7_dynamic + datawig + zero,13,0.9855 ± 0.0248
10_lymphography,7_dynamic + datawig + zero,14,0.9865 ± 0.0242
10_lymphography,7_dynamic + datawig + zero,15,0.9874 ± 0.0236
10_lymphography,7_dynamic + datawig + zero,16,0.9882 ± 0.0231
10_lymphography,7_dynamic + datawig + zero,17,0.9889 ± 0.0225
10_lymphography,7_dynamic + datawig + zero,18,0.9895 ± 0.0221
10_lymphography,7_dynamic + datawig + zero,19,0.9901 ± 0.0216
10_lymphography,7_dynamic + datawig + zero,20,0.9872 ± 0.0244
10_lymphography,7_dynamic + datawig + zero,21,0.9868 ± 0.0249
10_lymphography,7_dynamic + datawig + zero,22,0.9864 ± 0.0246
10_lymphography,7_dynamic + datawig + zero,23,0.9870 ± 0.0242
10_lymphography,7_dynamic + datawig + zero,24,0.9861 ± 0.0241
10_lymphography,7_dynamic + datawig + zero,25,0.9840 ± 0.0257
10_lymphography,7_dynamic + datawig + zero,26,0.9842 ± 0.0254
10_lymphography,7_dynamic + datawig + zero,27,0.9848 ± 0.0251
10_lymphography,7_dynamic + datawig + zero,28,0.9845 ± 0.0254
10_lymphography,7_dynamic + datawig + zero,29,0.9851 ± 0.0251
10_lymphography,7_dynamic + datawig + zero,30,0.9841 ± 0.0254
10_lymphography,8_dynamic + datawig + knn,1,1.0000 ± 0.0000
10_lymphography,8_dynamic + datawig + knn,2,1.0000 ± 0.0000
10_lymphography,8_dynamic + datawig + knn,3,0.9889 ± 0.0157
10_lymphography,8_dynamic + datawig + knn,4,0.9917 ± 0.0144
10_lymphography,8_dynamic + datawig + knn,5,0.9911 ± 0.0147
10_lymphography,8_dynamic + datawig + knn,6,0.9926 ± 0.0139
10_lymphography,8_dynamic + datawig + knn,7,0.9921 ± 0.0142
10_lymphography,8_dynamic + datawig + knn,8,0.9847 ± 0.0235
10_lymphography,8_dynamic + datawig + knn,9,0.9864 ± 0.0227
10_lymphography,8_dynamic + datawig + knn,10,0.9878 ± 0.0219
10_lymphography,8_dynamic + datawig + knn,11,0.9889 ± 0.0212
10_lymphography,8_dynamic + datawig + knn,12,0.9898 ± 0.0205
10_lymphography,8_dynamic + datawig + knn,13,0.9846 ± 0.0271
10_lymphography,8_dynamic + datawig + knn,14,0.9857 ± 0.0264
10_lymphography,8_dynamic + datawig + knn,15,0.9844 ± 0.0286
10_lymphography,8_dynamic + datawig + knn,16,0.9854 ± 0.0280
10_lymphography,8_dynamic + datawig + knn,17,0.9850 ± 0.0282
10_lymphography,8_dynamic + datawig + knn,18,0.9858 ± 0.0277
10_lymphography,8_dynamic + datawig + knn,19,0.9865 ± 0.0271
10_lymphography,8_dynamic + datawig + knn,20,0.9839 ± 0.0289
10_lymphography,8_dynamic + datawig + knn,21,0.9831 ± 0.0302
10_lymphography,8_dynamic + datawig + knn,22,0.9823 ± 0.0297
10_lymphography,8_dynamic + datawig + knn,23,0.9831 ± 0.0293
10_lymphography,8_dynamic + datawig + knn,24,0.9824 ± 0.0289
10_lymphography,8_dynamic + datawig + knn,25,0.9804 ± 0.0299
10_lymphography,8_dynamic + datawig + knn,26,0.9808 ± 0.0295
10_lymphography,8_dynamic + datawig + knn,27,0.9815 ± 0.0292
10_lymphography,8_dynamic + datawig + knn,28,0.9817 ± 0.0288
10_lymphography,8_dynamic + datawig + knn,29,0.9824 ± 0.0285
10_lymphography,8_dynamic + datawig + knn,30,0.9811 ± 0.0294
10_lymphography,9_datawig+zero+knn.py,1,0.0000 ± 0.0000
10_lymphography,9_datawig+zero+knn.py,2,0.0000 ± 0.0000
10_lymphography,9_datawig+zero+knn.py,3,0.0111 ± 0.0157
10_lymphography,9_datawig+zero+knn.py,4,0.0083 ± 0.0144
10_lymphography,9_datawig+zero+knn.py,5,0.0067 ± 0.0133
10_lymphography,9_datawig+zero+knn.py,6,0.0056 ± 0.0124
10_lymphography,9_datawig+zero+knn.py,7,0.0048 ± 0.0117
10_lymphography,9_datawig+zero+knn.py,8,0.0125 ± 0.0232
10_lymphography,9_datawig+zero+knn.py,9,0.0111 ± 0.0222
10_lymphography,9_datawig+zero+knn.py,10,0.0100 ± 0.0213
10_lymphography,9_datawig+zero+knn.py,11,0.0091 ± 0.0206
10_lymphography,9_datawig+zero+knn.py,12,0.0083 ± 0.0198
10_lymphography,9_datawig+zero+knn.py,13,0.0128 ± 0.0246
10_lymphography,9_datawig+zero+knn.py,14,0.0119 ± 0.0239
10_lymphography,9_datawig+zero+knn.py,15,0.0111 ± 0.0233
10_lymphography,9_datawig+zero+knn.py,16,0.0104 ± 0.0227
10_lymphography,9_datawig+zero+knn.py,17,0.0098 ± 0.0222
10_lymphography,9_datawig+zero+knn.py,18,0.0093 ± 0.0217
10_lymphography,9_datawig+zero+knn.py,19,0.0088 ± 0.0212
10_lymphography,9_datawig+zero+knn.py,20,0.0117 ± 0.0242
10_lymphography,9_datawig+zero+knn.py,21,0.0111 ± 0.0238
10_lymphography,9_datawig+zero+knn.py,22,0.0121 ± 0.0237
10_lymphography,9_datawig+zero+knn.py,23,0.0116 ± 0.0233
10_lymphography,9_datawig+zero+knn.py,24,0.0125 ± 0.0232
10_lymphography,9_datawig+zero+knn.py,25,0.0147 ± 0.0251
10_lymphography,9_datawig+zero+knn.py,26,0.0141 ± 0.0248
10_lymphography,9_datawig+zero+knn.py,27,0.0136 ± 0.0244
10_lymphography,9_datawig+zero+knn.py,28,0.0131 ± 0.0241
10_lymphography,9_datawig+zero+knn.py,29,0.0126 ± 0.0238
10_lymphography,9_datawig+zero+knn.py,30,0.0133 ± 0.0237
10_lymphography,10_dynamic+zero+knn,1,0.9889 ± 0.0157
10_lymphography,10_dynamic+zero+knn,2,0.9944 ± 0.0124
10_lymphography,10_dynamic+zero+knn,3,0.9852 ± 0.0166
10_lymphography,10_dynamic+zero+knn,4,0.9889 ± 0.0157
10_lymphography,10_dynamic+zero+knn,5,0.9889 ± 0.0157
10_lymphography,10_dynamic+zero+knn,6,0.9889 ± 0.0157
10_lymphography,10_dynamic+zero+knn,7,0.9905 ± 0.0151
10_lymphography,10_dynamic+zero+knn,8,0.9833 ± 0.0236
10_lymphography,10_dynamic+zero+knn,9,0.9852 ± 0.0228
10_lymphography,10_dynamic+zero+knn,10,0.9867 ± 0.0221
10_lymphography,10_dynamic+zero+knn,11,0.9879 ± 0.0214
10_lymphography,10_dynamic+zero+knn,12,0.9889 ± 0.0208
10_lymphography,10_dynamic+zero+knn,13,0.9846 ± 0.0249
10_lymphography,10_dynamic+zero+knn,14,0.9857 ± 0.0243
10_lymphography,10_dynamic+zero+knn,15,0.9844 ± 0.0269
10_lymphography,10_dynamic+zero+knn,16,0.9854 ± 0.0263
10_lymphography,10_dynamic+zero+knn,17,0.9856 ± 0.0258
10_lymphography,10_dynamic+zero+knn,18,0.9864 ± 0.0253
10_lymphography,10_dynamic+zero+knn,19,0.9871 ± 0.0248
10_lymphography,10_dynamic+zero+knn,20,0.9844 ± 0.0269
10_lymphography,10_dynamic+zero+knn,21,0.9836 ± 0.0271
10_lymphography,10_dynamic+zero+knn,22,0.9828 ± 0.0267
10_lymphography,10_dynamic+zero+knn,23,0.9836 ± 0.0264
10_lymphography,10_dynamic+zero+knn,24,0.9829 ± 0.0261
10_lymphography,10_dynamic+zero+knn,25,0.9809 ± 0.0273
10_lymphography,10_dynamic+zero+knn,26,0.9816 ± 0.0270
10_lymphography,10_dynamic+zero+knn,27,0.9823 ± 0.0268
10_lymphography,10_dynamic+zero+knn,28,0.9821 ± 0.0269
10_lymphography,10_dynamic+zero+knn,29,0.9828 ± 0.0267
10_lymphography,10_dynamic+zero+knn,30,0.9822 ± 0.0264
10_lymphography,11_all(dynamic+datawig+zero+knn),1,1.0000 ± 0.0000
10_lymphography,11_all(dynamic+datawig+zero+knn),2,1.0000 ± 0.0000
10_lymphography,11_all(dynamic+datawig+zero+knn),3,0.9861 ± 0.0213
10_lymphography,11_all(dynamic+datawig+zero+knn),4,0.9896 ± 0.0194
10_lymphography,11_all(dynamic+datawig+zero+knn),5,0.9917 ± 0.0179
10_lymphography,11_all(dynamic+datawig+zero+knn),6,0.9931 ± 0.0166
10_lymphography,11_all(dynamic+datawig+zero+knn),7,0.9940 ± 0.0156
10_lymphography,11_all(dynamic+datawig+zero+knn),8,0.9865 ± 0.0248
10_lymphography,11_all(dynamic+datawig+zero+knn),9,0.9880 ± 0.0238
10_lymphography,11_all(dynamic+datawig+zero+knn),10,0.9892 ± 0.0228
10_lymphography,11_all(dynamic+datawig+zero+knn),11,0.9902 ± 0.0220
10_lymphography,11_all(dynamic+datawig+zero+knn),12,0.9910 ± 0.0212
10_lymphography,11_all(dynamic+datawig+zero+knn),13,0.9865 ± 0.0255
10_lymphography,11_all(dynamic+datawig+zero+knn),14,0.9875 ± 0.0249
10_lymphography,11_all(dynamic+datawig+zero+knn),15,0.9872 ± 0.0252
10_lymphography,11_all(dynamic+datawig+zero+knn),16,0.9880 ± 0.0246
10_lymphography,11_all(dynamic+datawig+zero+knn),17,0.9877 ± 0.0249
10_lymphography,11_all(dynamic+datawig+zero+knn),18,0.9884 ± 0.0243
10_lymphography,11_all(dynamic+datawig+zero+knn),19,0.9890 ± 0.0238
10_lymphography,11_all(dynamic+datawig+zero+knn),20,0.9863 ± 0.0262
10_lymphography,11_all(dynamic+datawig+zero+knn),21,0.9853 ± 0.0269
10_lymphography,11_all(dynamic+datawig+zero+knn),22,0.9852 ± 0.0265
10_lymphography,11_all(dynamic+datawig+zero+knn),23,0.9859 ± 0.0261
10_lymphography,11_all(dynamic+datawig+zero+knn),24,0.9851 ± 0.0259
10_lymphography,11_all(dynamic+datawig+zero+knn),25,0.9830 ± 0.0273
10_lymphography,11_all(dynamic+datawig+zero+knn),26,0.9833 ± 0.0270
10_lymphography,11_all(dynamic+datawig+zero+knn),27,0.9840 ± 0.0266
10_lymphography,11_all(dynamic+datawig+zero+knn),28,0.9842 ± 0.0263
10_lymphography,11_all(dynamic+datawig+zero+knn),29,0.9848 ± 0.0260
10_lymphography,11_all(dynamic+datawig+zero+knn),30,0.9836 ± 0.0269
10_lympho,datawig,1,0.0000 ± 0.0000
10_lympho,datawig,2,0.0000 ± 0.0000
10_lympho,datawig,3,0.0333 ± 0.0000
10_lympho,datawig,4,0.0000 ± 0.0000
10_lympho,datawig,5,0.0000 ± 0.0000
10_lympho,datawig,6,0.0000 ± 0.0000
10_lympho,datawig,7,0.0000 ± 0.0000
10_lympho,datawig,8,0.0667 ± 0.0000
10_lympho,datawig,9,0.0000 ± 0.0000
10_lympho,datawig,10,0.0000 ± 0.0000
10_lympho,datawig,11,0.0000 ± 0.0000
10_lympho,datawig,12,0.0000 ± 0.0000
10_lympho,datawig,13,0.0667 ± 0.0000
10_lympho,datawig,14,0.0000 ± 0.0000
10_lympho,datawig,15,0.0000 ± 0.0000
10_lympho,datawig,16,0.0000 ± 0.0000
10_lympho,datawig,17,0.0000 ± 0.0000
10_lympho,datawig,18,0.0000 ± 0.0000
10_lympho,datawig,19,0.0000 ± 0.0000
10_lympho,datawig,20,0.0667 ± 0.0000
10_lympho,datawig,21,0.0000 ± 0.0000
10_lympho,datawig,22,0.0333 ± 0.0000
10_lympho,datawig,23,0.0000 ± 0.0000
10_lympho,datawig,24,0.0333 ± 0.0000
10_lympho,datawig,25,0.0667 ± 0.0000
10_lympho,datawig,26,0.0000 ± 0.0000
10_lympho,datawig,27,0.0000 ± 0.0000
10_lympho,datawig,28,0.0000 ± 0.0000
10_lympho,datawig,29,0.0000 ± 0.0000
10_lympho,datawig,30,0.0333 ± 0.0000
10_lympho,dynamic,1,0.4333 ± 0.0000
10_lympho,dynamic,2,0.4000 ± 0.0000
10_lympho,dynamic,3,0.4333 ± 0.0000
10_lympho,dynamic,4,0.4000 ± 0.0000
10_lympho,dynamic,5,0.4000 ± 0.0000
10_lympho,dynamic,6,0.2667 ± 0.0000
10_lympho,dynamic,7,0.3333 ± 0.0000
10_lympho,dynamic,8,0.4333 ± 0.0000
10_lympho,dynamic,9,0.3667 ± 0.0000
10_lympho,dynamic,10,0.4667 ± 0.0000
10_lympho,dynamic,11,0.3333 ± 0.0000
10_lympho,dynamic,12,0.2667 ± 0.0000
10_lympho,dynamic,13,0.3333 ± 0.0000
10_lympho,dynamic,14,0.4000 ± 0.0000
10_lympho,dynamic,15,0.4000 ± 0.0000
10_lympho,dynamic,16,0.3000 ± 0.0000
10_lympho,dynamic,17,0.3333 ± 0.0000
10_lympho,dynamic,18,0.3333 ± 0.0000
10_lympho,dynamic,19,0.4333 ± 0.0000
10_lympho,dynamic,20,0.2000 ± 0.0000
10_lympho,dynamic,21,0.5000 ± 0.0000
10_lympho,dynamic,22,0.4000 ± 0.0000
10_lympho,dynamic,23,0.3000 ± 0.0000
10_lympho,dynamic,24,0.5333 ± 0.0000
10_lympho,dynamic,25,0.3667 ± 0.0000
10_lympho,dynamic,26,0.3000 ± 0.0000
10_lympho,dynamic,27,0.3667 ± 0.0000
10_lympho,dynamic,28,0.4000 ± 0.0000
10_lympho,dynamic,29,0.3667 ± 0.0000
10_lympho,dynamic,30,0.3000 ± 0.0000
10_lympho,zero,1,0.0000 ± 0.0000
10_lympho,zero,2,0.0000 ± 0.0000
10_lympho,zero,3,0.0333 ± 0.0000
10_lympho,zero,4,0.0000 ± 0.0000
10_lympho,zero,5,0.0000 ± 0.0000
10_lympho,zero,6,0.0000 ± 0.0000
10_lympho,zero,7,0.0000 ± 0.0000
10_lympho,zero,8,0.0667 ± 0.0000
10_lympho,zero,9,0.0000 ± 0.0000
10_lympho,zero,10,0.0000 ± 0.0000
10_lympho,zero,11,0.0000 ± 0.0000
10_lympho,zero,12,0.0000 ± 0.0000
10_lympho,zero,13,0.0667 ± 0.0000
10_lympho,zero,14,0.0000 ± 0.0000
10_lympho,zero,15,0.0000 ± 0.0000
10_lympho,zero,16,0.0000 ± 0.0000
10_lympho,zero,17,0.0000 ± 0.0000
10_lympho,zero,18,0.0000 ± 0.0000
10_lympho,zero,19,0.0000 ± 0.0000
10_lympho,zero,20,0.0667 ± 0.0000
10_lympho,zero,21,0.0000 ± 0.0000
10_lympho,zero,22,0.0333 ± 0.0000
10_lympho,zero,23,0.0000 ± 0.0000
10_lympho,zero,24,0.0333 ± 0.0000
10_lympho,zero,25,0.0667 ± 0.0000
10_lympho,zero,26,0.0000 ± 0.0000
10_lympho,zero,27,0.0000 ± 0.0000
10_lympho,zero,28,0.0000 ± 0.0000
10_lympho,zero,29,0.0000 ± 0.0000
10_lympho,zero,30,0.0333 ± 0.0000
