Dataset,Experiment,multi_model,datawig_imputed_model,dynamic_imputed_model,knn_imputed_model,zero_imputed_model
6_chess,19,[0.00466534 0.07092099 0.06751819 ... 0.04793641 0.04973028 0.04695725],"[5.2555911e-06 1.1248934e-03 2.0724759e-04 ... 6.1529793e-04 2.7542087e-04
 1.2193644e-02]",[0.01299716 0.03386461 0.04167324 ... 0.02630823 0.11460816 0.02151534],[0.01256498 0.0075279  0.00411798 ... 0.03052546 0.0091012  0.03725745],"[7.0677420e-06 1.6087327e-02 1.5430496e-05 ... 1.2704861e-04 4.8410174e-02
 1.7035129e-03]"
6_chess,20,[0.07462107 0.0506982  0.1079706  ... 0.3123256  0.04514625 0.07864309],[0.26485255 0.02890886 0.05373196 ... 0.50618607 0.00437962 0.01450203],[0.03821049 0.02378618 0.0725453  ... 0.12549022 0.07434432 0.0699766 ],[0.01990798 0.01633908 0.05929694 ... 0.06990111 0.04803543 0.05161697],[0.15014453 0.03214043 0.04941604 ... 0.08555139 0.00200401 0.44387928]
6_chess,21,[0.00085665 0.12825774 0.04502973 ... 0.03633101 0.01824384 0.078021  ],"[3.7185571e-05 1.8060343e-02 5.2628515e-04 ... 7.0521259e-03 3.9694057e-04
 8.4986232e-02]",[0.01836496 0.03322856 0.02182536 ... 0.03139181 0.14459829 0.1698245 ],[0.04325257 0.15513285 0.01435022 ... 0.02048699 0.01011784 0.09867044],[0.01916224 0.09423899 0.00082124 ... 0.03198252 0.02409438 0.03953839]
6_chess,22,[0.23710553 0.06597374 0.03037526 ... 0.03582837 0.34989712 0.06210747],"[2.8960893e-03 6.8813708e-05 5.1653540e-05 ... 3.9760354e-03 6.2203985e-01
 4.4279109e-04]",[0.08633252 0.07434944 0.04107271 ... 0.0436827  0.21517508 0.02731382],[0.09236217 0.09241161 0.0409209  ... 0.08799166 0.47076285 0.008689  ],[0.05482185 0.09178955 0.05837763 ... 0.08456816 0.39493346 0.00065461]
6_chess,23,[0.03502476 0.0245322  0.17088264 ... 0.01855824 0.00261155 0.03816881],"[1.5231830e-01 1.4363138e-01 6.3759470e-01 ... 2.4496964e-03 8.7055105e-06
 2.1125588e-03]",[0.08680176 0.1207945  0.05995734 ... 0.10691799 0.02286308 0.10660447],[0.25775722 0.06678797 0.06596981 ... 0.02748778 0.02887177 0.07542986],"[3.1410806e-02 1.4799778e-02 7.3982829e-01 ... 1.2591652e-03 1.9819263e-05
 1.1766931e-01]"
6_chess,24,[0.01337328 0.3162103  0.08331011 ... 0.01815227 0.03820818 0.03540422],[0.00011156 0.00456009 0.00317172 ... 0.00439054 0.00395607 0.00068207],[0.05634258 0.05234971 0.14110787 ... 0.15549517 0.04004918 0.05846493],[0.0511629  0.11182638 0.25744852 ... 0.02554168 0.17676657 0.08388829],"[2.4054045e-05 1.5932620e-01 2.9704620e-03 ... 3.1725913e-01 1.4603916e-01
 2.5511410e-02]"
6_chess,25,[0.07267561 0.15579867 0.02065108 ... 0.40356424 0.06542825 0.0729918 ],"[3.6691350e-04 1.7009345e-03 7.5099871e-02 ... 4.2641816e-01 3.0279698e-04
 7.6028518e-02]",[0.23958217 0.08432223 0.11468615 ... 0.07898839 0.11452965 0.29025197],[0.22722985 0.19204263 0.12391782 ... 0.1583295  0.03036856 0.04222481],[0.10990182 0.00951638 0.00568837 ... 0.05797655 0.05131841 0.06528557]
6_chess,26,[0.41877174 0.05094256 0.03445267 ... 0.16201998 0.02163181 0.74282825],"[1.8815736e-01 1.8871360e-02 5.6487319e-05 ... 4.4421636e-02 5.6852680e-03
 6.3891816e-01]",[0.2510699  0.01914221 0.15964983 ... 0.21708874 0.07938188 0.2665726 ],[0.12234832 0.10134526 0.01067675 ... 0.04413844 0.00458159 0.06233951],[0.6576196  0.01180756 0.01066503 ... 0.11130583 0.01041319 0.6782955 ]
6_chess,27,[0.01822777 0.0319758  0.00140809 ... 0.08831099 0.26957777 0.01353445],"[1.0166446e-01 1.1642721e-03 2.1288694e-04 ... 1.3873730e-04 2.9388073e-01
 1.6063512e-03]",[0.01479361 0.14789274 0.02870834 ... 0.12066928 0.1683987  0.06037632],[0.00429753 0.03221833 0.00596296 ... 0.04689411 0.03535547 0.00799033],[0.03159402 0.07577023 0.09689353 ... 0.00601416 0.11420479 0.00651052]
6_chess,28,[0.05463383 0.00142562 0.17353736 ... 0.02292624 0.01173803 0.03057904],"[1.5804887e-02 6.5121749e-05 7.0414621e-01 ... 4.7582615e-04 3.5837270e-02
 3.4618471e-02]",[0.0193516  0.04421692 0.12575147 ... 0.01783106 0.11199918 0.19083995],[0.19243763 0.07415021 0.00566989 ... 0.23963442 0.01251708 0.05994491],"[1.0517945e-01 5.7167799e-05 7.0569277e-02 ... 6.9581489e-03 2.0903125e-02
 2.2865392e-02]"
6_chess,29,[0.00159988 0.10831618 0.01943577 ... 0.01983534 0.00207556 0.22541572],"[3.5246028e-04 4.1257725e-03 8.2048631e-05 ... 1.9704874e-03 1.0815569e-05
 6.3341331e-01]",[0.04704215 0.08993408 0.03720256 ... 0.18356667 0.01187189 0.09448013],[0.00806633 0.03097063 0.01439151 ... 0.00654957 0.00753799 0.03396245],"[1.3306920e-04 7.1957740e-03 2.6721490e-04 ... 1.5177621e-02 1.3720999e-04
 2.2865230e-01]"
6_chess,30,[0.0186633  0.07753325 0.14315905 ... 0.05142583 0.24432826 0.02759713],[0.00018243 0.00069664 0.05693644 ... 0.15181738 0.01298789 0.0425886 ],[0.03268718 0.01663223 0.19863662 ... 0.10803654 0.02325908 0.18043174],[0.00309908 0.21186876 0.14955753 ... 0.01233502 0.30779126 0.21850745],[0.00036296 0.05338098 0.16568188 ... 0.30615184 0.08710095 0.2485123 ]
